name,all_reviews,developer,publisher,popular_tags,game_details,genre,mature_content,minimum_requirements,original_price
freestyle 2: street basketball,"Mostly Positive,(8,097),- 72% of the 8,097 user reviews for this game are positive.",Joycity,"Joycity,Joycity","Free to Play,Basketball,Sports,Multiplayer,Massively Multiplayer,Action,Co-op,Casual,Competitive,Strategy,Simulation,Singleplayer,e-sports,Controller,Anime,Funny,Great Soundtrack,Open World,FPS,2D","Online Multi-Player,MMO,Online Co-op,Steam Trading Cards,Partial Controller Support","Action,Casual,Free to Play,Massively Multiplayer,Sports",,"Minimum:,OS:,Window XP,Processor:,Pentium 4 2.8 GHz,Memory:,1 GB RAM,Graphics:,GeForce 7600 GT 512MB,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,1 GB available space,Sound Card:,DirectX Compatible",Free to Play
pc building simulator,"Very Positive,(6,807),- 88% of the 6,807 user reviews for this game are positive.","Claudiu Kiss,The Irregular Corporation","The Irregular Corporation,The Irregular Corporation","Simulation,Building,Singleplayer,Education,Realistic,Sandbox,Indie,First-Person,Relaxing,Casual,Management,Early Access,Puzzle,Funny,Great Soundtrack,Replay Value,Atmospheric,Multiplayer,VR,Design & Illustration","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Indie,Simulation",,,$19.99 
battle brothers,"Very Positive,(5,939),- 86% of the 5,939 user reviews for this game are positive.",Overhype Studios,"Overhype Studios,Overhype Studios","Strategy,Turn-Based Combat,Medieval,RPG,Turn-Based Tactics,Open World,Turn-Based,Difficult,Sandbox,Singleplayer,Indie,Tactical,Procedural Generation,Perma Death,Replay Value,Fantasy,Turn-Based Strategy,Rogue-like,CRPG,Early Access","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,RPG,Strategy",,"Minimum:,OS:,Windows XP, Windows Vista, Windows 7, Windows 8, Windows 10,Processor:,1.2 Ghz,Memory:,1024 MB RAM,Graphics:,OpenGL 3.3 compatible video card with 512 MB,Storage:,1500 MB available space,Additional Notes:,Make sure your video drivers are up-to-date!",$29.99 
the surge,"Mostly Positive,(3,174),- 74% of the 3,174 user reviews for this game are positive.",Deck13,"Focus Home Interactive,Focus Home Interactive","Souls-like,Action,RPG,Sci-fi,Difficult,Third Person,Singleplayer,Mechs,Violent,Hack and Slash,Robots,Open World,Exploration,Cyberpunk,Adventure,Gore,Action RPG,Horror,Futuristic,Great Soundtrack","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,RPG",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7/8/10 (64-bit),Processor:,AMD FX-8320 (3,5 GHz) / Intel i5-4690K (3,5 GHz),Memory:,8 GB RAM,Graphics:,1 GB, AMD Radeon R7 360 / NVIDIA GeForce GTX 560 Ti,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,15 GB available space,Additional Notes:,INTERNET CONNECTION REQUIRED FOR GAME ACTIVATION",$29.99 
total war saga: thrones of britannia,"Mixed,(4,915),- 55% of the 4,915 user reviews for this game are positive.","CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux),SEGA,Feral Interactive (Mac),Feral Interactive (Linux)","Strategy,Historical,RTS,Turn-Based Strategy,Medieval,Action,Multiplayer,Singleplayer,War,Grand Strategy,Co-op,Tactical,Atmospheric,Turn-Based","Single-player,Multi-player,Steam Achievements","Action,Strategy",,"Minimum:,OS:,Windows 7 64Bit,Processor:,Intel® Core™ 2 Duo 3.0Ghz,Memory:,5 GB RAM,Graphics:,NVIDIA GTX 460 1GB | AMD Radeon HD 5770 1GB | Intel HD4000 @720p,Storage:,30 GB available space,Minimum:,OS:,Ubuntu 18.04,Processor:,Intel Core i3-2100 or AMD equivalent,Memory:,8 GB RAM,Graphics:,2GB AMD R9 285 (GCN 3rd Gen and above), 2GB Nvidia GTX 680 or better,Storage:,15 GB available space,Additional Notes:,* Requires Vulkan,* AMD graphics cards require Mesa 18.0.0 or later (Mesa 18.0.4 is recommended),* AMD GCN 1st and 2nd generation cards are not supported,*  Nvidia graphics cards require driver version 390.59 or later",$39.99 
assetto corsa ultimate edition,,Kunos Simulazioni,Kunos Simulazioni,,"Single-player,Multi-player,Online Multi-Player,Downloadable Content,Steam Achievements,Partial Controller Support,Steam Leaderboards,Includes level editor","Indie,Racing,Simulation,Sports",,,
parkitect,"Very Positive,(1,589),- 89% of the 1,589 user reviews for this game are positive.",Texel Raptor,"Texel Raptor,Texel Raptor","Management,Building,Simulation,Sandbox,Indie,Singleplayer,City Builder,Resource Management,Early Access,Moddable,Isometric,Strategy,Funny,Economy,Family Friendly,Relaxing,Colorful,Great Soundtrack,Casual","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor","Indie,Simulation",,"Minimum:,OS:,Windows Vista, Windows 7, Windows 8, Windows 10,Processor:,2.3 GHz Intel i3 or comparable,Memory:,4 GB RAM,Graphics:,Shader Model 3.0 capabilities (most cards made since ~2004 should work),DirectX:,Version 10,Storage:,2 GB available space,Additional Notes:,This will run the game, but for the best experience something closer to the Recommended Requirements is better,Minimum:,OS:,Mac OS X 10.9+,Processor:,2.3 GHz Intel i3 or comparable,Memory:,4 GB RAM,Graphics:,Shader Model 3.0 capabilities (most cards made since ~2004 should work),Storage:,2 GB available space,Additional Notes:,This will run the game, but for the best experience something closer to the Recommended Requirements is better,Minimum:,OS:,Ubuntu 14.04+, SteamOS+,Processor:,2.3 GHz Intel i3 or comparable,Memory:,4 GB RAM,Graphics:,Shader Model 3.0 capabilities (most cards made since ~2004 should work),Storage:,2 GB available space,Additional Notes:,This will run the game, but for the best experience something closer to the Recommended Requirements is better",$29.99 
between the stars,"Very Positive,(245),- 82% of the 245 user reviews for this game are positive.",Isolated Games,"Isolated Games,Isolated Games","Early Access,Space,Action,RPG,Simulation,Indie,Early Access,Adventure,Space Sim,Singleplayer,Sandbox,Strategy,Sci-fi,Rogue-lite,3D,Tactical RPG,Rogue-like,Open World,Survival,Action RPG","Single-player,Steam Achievements","Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Win 7 SP1, Win 8.1 (64-bit Operating System Required),Processor:,Intel Core i3-4330 @ 3.50GHz / AMD FX-4330,Memory:,8 GB RAM,Graphics:,GeForce GTX 660 Ti / Radeon R9 270X,DirectX:,Version 10,Storage:,5 GB available space",$19.99 
shellshock live,"Very Positive,(10,687),- 89% of the 10,687 user reviews for this game are positive.",kChamp Games,"kChamp Games,kChamp Games","Early Access,Tanks,Multiplayer,2D,Strategy,Action,Early Access,Turn-Based,Casual,Shooter,Massively Multiplayer,Online Co-Op,Indie,Colorful,Funny,Turn-Based Strategy,Co-op,Singleplayer,Great Soundtrack,Physics","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats","Action,Casual,Indie,Massively Multiplayer,Strategy,Early Access",,,$6.99 
endless legend™,"Very Positive,(9,773),- 82% of the 9,773 user reviews for this game are positive.",AMPLITUDE Studios,"SEGA,SEGA","Strategy,4X,Turn-Based,Turn-Based Strategy,Fantasy,Hex Grid,Multiplayer,Singleplayer,Great Soundtrack,RPG,Sci-fi,Indie,Tactical,Adventure,Grand Strategy,Medieval,Atmospheric,Open World,Exploration,Sandbox","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","RPG,Strategy",,"Minimum:,OS:,Windows Vista / 7 / 8 / 8.1 / 10,Processor:,2.5Ghz Intel Core 2 Quad Q8300 or equivalent,Memory:,4 GB RAM,Graphics:,1GB nVidia Geforce GT460 or equivalent, 500 MB ATI HD4850 or equivalent,DirectX:,Version 9.0c,Storage:,4 GB available space,Sound Card:,DirectX 9 Compatible Audio,Additional Notes:,Minimum Resolution: 1280 x 720,Minimum:,OS:,MAC OS X 10.8 to 10.12,Processor:,1.7 GHz Intel Core i5,Memory:,4 GB RAM,Graphics:,512 MB AMD Radeon HD 4850, NVidia GeForce 640 or Intel HD 4000,Storage:,4 GB available space,Additional Notes:,Minimum Resolution: 1280 x 720",$29.99 
cities: skylines - campus plus edition,,Colossal Order Ltd.,Paradox Interactive,,"Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor","Simulation,Strategy",,,
devolver bootleg,"Very Positive,(340),- 95% of the 340 user reviews for this game are positive.",doinksoft,"Devolver Digital,Devolver Digital","Indie,Casual,Action,Gore,Violent,Adventure,Sports,Pixel Graphics,Memes,Retro,2D,Side Scroller,Controller,Cute,Great Soundtrack","Single-player,Partial Controller Support","Action,Adventure,Casual,Indie,Sports", Mature Content Description  The developers describe the content like this:  Devolver Bootleg contains stylizes blood and gore.  ,,$4.99 
dirt rally 2.0,"Mixed,(1,196),- 64% of the 1,196 user reviews for this game are positive.",Codemasters,"Codemasters,Codemasters","Racing,Simulation,Realistic,Driving,Offroad,Sports,Difficult,Singleplayer,Multiplayer,First-Person,VR,3D Vision,TrackIR,Open World","Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Cloud","Racing,Simulation,Sports",,"Minimum:,Requires a 64-bit processor and operating system,OS:,64bit versions of Windows® 7, Windows® 8, Windows® 10,Processor:,AMD FX4300 or Intel Core i3 2130,Memory:,8 GB RAM,Graphics:,AMD HD7750 or NVIDIA GTX650Ti,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,50 GB available space,Sound Card:,DirectX® Compatible soundcard",$59.99 
attack on titan 2 - a.o.t.2 - 進撃の巨人２,"Very Positive,(644),- 84% of the 644 user reviews for this game are positive.","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.,KOEI TECMO GAMES CO., LTD.","Anime,Action,Character Customization,Multiplayer,Gore,RPG,Open World,Nudity,Adventure,Horror,Co-op,Sexual Content,Singleplayer,Online Co-Op,Third Person","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Partial Controller Support,Steam Cloud",Action,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Win 7/8.1/10 64bit,Processor:,Core I5 2400 or over,Memory:,6 GB RAM,Graphics:,NVIDIA GeForce GTX 660 VRAM 1GB or over,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,30 GB available space,Sound Card:,16bit Stereo 48kHzWAVE",$59.99 
warface,"Mixed,(47,716),- 69% of the 47,716 user reviews for this game are positive.",MY.GAMES,"MY.GAMES,MY.GAMES","Free to Play,FPS,Multiplayer,Shooter,Action,Co-op,First-Person,Online Co-Op,War,PvP,Military,Massively Multiplayer,Team-Based,Tactical,Zombies,Open World,Adventure,Strategy,Simulation,Great Soundtrack","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Action,Free to Play,Massively Multiplayer",,"Minimum:,OS:,Windows 7, Windows 8, Windows 10,Processor:,Intel/AMD Dual-Core 2.0 GHz,Memory:,2 GB RAM,Graphics:,NVIDIA GeForce 8600 GT 256MB / AMD ATI Radeon X1950 256MB,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,15 GB available space,Sound Card:,DirectX Compatible Sound Card with latest drivers",Free to Play
assassin's creed® origins,"Very Positive,(33,278),- 83% of the 33,278 user reviews for this game are positive.",Ubisoft Montreal,"Ubisoft,Ubisoft","Open World,Assassin,Action,RPG,Parkour,Stealth,Adventure,Historical,Third Person,Singleplayer,Story Rich,Action RPG,Exploration,Atmospheric,Multiplayer,Sandbox,Great Soundtrack,Illuminati,Walking Simulator,Heist","Single-player,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support","Action,Adventure,RPG",,"Minimum:,OS:,Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only),Processor:,Intel Core i5-2400s @ 2.5 GHz or AMD FX-6350 @ 3.9 GHz or equivalent,Memory:,6 GB RAM,Graphics:,NVIDIA GeForce GTX 660 or AMD R9 270 (2048 MB VRAM with Shader Model 5.0 or better),DirectX:,Version 11,Storage:,42 GB available space,Additional Notes:,Video Preset: Lowest (720p). Game contains Denuvo,(https://www.denuvo.com/),and VMProtect,(http://vmpsoft.com/support/user-manual/introduction/what-is-vmprotect/),anti-piracy technology.",$59.99 
house party,"Very Positive,(3,858),- 84% of the 3,858 user reviews for this game are positive.","Eek! Games, LLC","Eek! Games, LLC,Eek! Games, LLC","Early Access,Sexual Content,Nudity,Mature,NSFW,Dating Sim,Simulation,First-Person,Early Access,Singleplayer,Indie,Funny,Comedy,Story Rich,Casual,Choices Matter,Sandbox,Puzzle,RPG,Great Soundtrack","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Adventure,Casual,Indie,Simulation,Early Access"," Mature Content Description  The developers describe the content like this:  This game contains adult themes and content that may not be suitable for all ages.  These themes include nudity, strong language, alcohol and drug use, sex, and mild violence.  ","Minimum:,OS:,Windows 7+,Processor:,SSE2 instruction set support.,Memory:,4 GB RAM,Graphics:,Direct X 11 GPU w/ 2GB Memory,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,5 GB available space",$14.99 
empyrion - galactic survival,"Very Positive,(12,121),- 80% of the 12,121 user reviews for this game are positive.",Eleon Game Studios,"Eleon Game Studios,Eleon Game Studios","Early Access,Survival,Open World,Space,Building,Sandbox,Multiplayer,Crafting,Exploration,Sci-fi,Early Access,Adventure,Co-op,Singleplayer,Simulation,First-Person,Aliens,Strategy,Indie,Action","Single-player,Multi-player,Co-op,Steam Workshop,Partial Controller Support","Adventure,Indie,Simulation,Strategy,Early Access",,"Minimum:,OS:,Windows (7, 8 and 10), 64-bit system required,Processor:,Dual-Core Processor 2.5 GHz or better,Memory:,8 GB RAM,Graphics:,NVIDIA GeForce GT 640 or equivalent (at least 1GB VRAM),DirectX:,Version 9.0c,Storage:,2 GB available space,Sound Card:,DirectX® compatible",$19.99 
wwe 2k19,"Mixed,(897),- 59% of the 897 user reviews for this game are positive.","Visual Concepts,Yuke's Co., LTD","2K,2K","Sports,Wrestling,Simulation,Fighting,Character Customization,Multiplayer,Singleplayer,Co-op,Action,Violent","Single-player,Multi-player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud","Simulation,Sports",,"Minimum:,Requires a 64-bit processor and operating system,OS:,64-bit: Windows® 7 (latest updates),Processor:,Intel Core i5-3550 / AMD FX 8150,Memory:,4 GB RAM,Graphics:,GeForce GTX 670 / Radeon HD 7850,DirectX:,Version 11,Storage:,50 GB available space,Sound Card:,DirectX 9.0c compatible sound card,Additional Notes:,At least 2 GB DDR Video Memory",$59.99 
dragon's dogma: dark arisen,"Very Positive,(10,683),- 87% of the 10,683 user reviews for this game are positive.",Capcom,"Capcom,Capcom","RPG,Open World,Character Customization,Fantasy,Action,Adventure,Singleplayer,Action RPG,Dragons,Dark Fantasy,Third Person,Magic,Exploration,Great Soundtrack,Atmospheric,Story Rich,Difficult,JRPG,Multiplayer,Hack and Slash","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,RPG",,"Minimum:,OS:,Windows Vista or newer (32 or 64 bit),Processor:,Intel Core i5 660 CPU or equivalent,Memory:,4 GB RAM,Graphics:,Radeon HD 5870 or equivalent,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,20 GB available space,Sound Card:,DirectX-compatible sound card or onboard audio chip,Additional Notes:,1) Supports Keyboard+Mouse and XInput/DirectInput devices including Xbox 360, Xbox One, DualShock4 and Steam Controller.,2) Some high end integrated graphics chips and modern gaming laptops with a discrete GPU may work but have not been tested, nor are they officially supported by Capcom.",$29.99 
"warhammer 40,000: gladius - relics of war","Mostly Positive,(1,147),- 77% of the 1,147 user reviews for this game are positive.",Proxy Studios,"Slitherine Ltd.,Slitherine Ltd.","Strategy,Warhammer 40K,Turn-Based Strategy,4X,Sci-fi,Turn-Based,Hex Grid,Turn-Based Tactics,Multiplayer,Wargame,War,Tactical,Singleplayer,Turn-Based Combat,Co-op,Grand Strategy,Replay Value,Great Soundtrack,Artificial Intelligence,Military","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud",Strategy,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 (64-bit),Processor:,Intel Core i3 or equivalent,Memory:,4 GB RAM,Graphics:,Vulkan support (Nvidia GeForce 600 series / AMD Radeon HD 7000 series / Intel HD Graphics 500 series),Storage:,4 GB available space,Minimum:,Requires a 64-bit processor and operating system,OS:,64-bit,Processor:,Intel Core i3 or equivalent,Memory:,4 GB RAM,Graphics:,Vulkan support (Nvidia GeForce 600 series / AMD Radeon HD 7000 series / Intel HD Graphics 500 series),Storage:,4 GB available space",$84.93 
scrap mechanic,"Very Positive,(16,220),- 84% of the 16,220 user reviews for this game are positive.",Axolot Games,"Axolot Games,Axolot Games","Early Access,Building,Sandbox,Multiplayer,Open World,Physics,Early Access,Singleplayer,Funny,First-Person,Simulation,Co-op,Third Person,Adventure,Crafting,Survival,Action,Indie,Racing,Atmospheric","Single-player,Multi-player,Co-op,Steam Workshop,Steam Cloud","Action,Adventure,Indie,Simulation,Early Access",,"Minimum:,OS:,Microsoft Windows Vista (SP1),Processor:,2.6 GHz Dual Core,Memory:,4 GB RAM,Graphics:,NVIDIA GeForce 220 / ATI Radeon HD 3870 or better,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,2 GB available space",$19.99 
generation zero,"Mixed,(2,684),- 45% of the 2,684 user reviews for this game are positive.",Avalanche Publishing,"Avalanche Publishing,Avalanche Publishing","Open World,Survival,Co-op,Multiplayer,FPS,Adventure,Robots,Action,Singleplayer,Post-apocalyptic,1980s,Sci-fi,Online Co-Op,First-Person,Mechs,Stealth,Atmospheric,Horror,Great Soundtrack,Nudity","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure",,"Minimum:,Requires a 64-bit processor and operating system,OS:,64bit OS - Windows 7 with Service Pack 1,Processor:,Intel i5 Quad Core,Memory:,8 GB RAM,Graphics:,nVidia GTX 660 / ATI HD7870 - 2GB VRAM / Intel® Iris™ Pro Graphics 580,Storage:,35 GB available space",$34.99 
total war: attila,"Mostly Positive,(11,602),- 73% of the 11,602 user reviews for this game are positive.",CREATIVE ASSEMBLY,"SEGA,SEGA","Strategy,Historical,War,Turn-Based Strategy,Grand Strategy,RTS,Tactical,Multiplayer,Rome,Singleplayer,Real Time Tactics,Medieval,Atmospheric,Co-op,Action,Turn-Based,Open World,Simulation,Survival,Adventure","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud",Strategy,,"Minimum:,OS:,Windows Vista*,Processor:,Intel Core 2 Duo 3 GHz,Memory:,3 GB RAM,Graphics:,512 MB NVIDIA GeForce 8800 GT, AMD Radeon HD 2900 XT or Intel HD 4000,DirectX:,Version 10,Storage:,35 GB available space,Additional Notes:,PC integrated graphics chipsets require 64 bit Windows, e.g. Intel HD series.,Minimum:,OS:,OS X 10.9.4,Processor:,Intel Core i5 1.7 GHz,Memory:,4 GB RAM,Graphics:,512 MB NVIDIA GeForce GT 640M, AMD Mobility Radeon HD 5670 or Intel HD 4000,Storage:,35 GB available space,Additional Notes:,Unsupported graphics chipsets for Mac: NVIDIA GeForce 9 series, GeForce 300 series, GeForce Quatro series ; AMD Radeon HD 4000 series, Radeon HD 3000 series, Radeon HD 2000 series.,Minimum:,OS:,Ubuntu 14.04 LTS / SteamOS Brewmaster update 2.49,Processor:,AMD Phenom II X4 955 or Intel Core2 Quad Q9650,Memory:,4 GB RAM,Graphics:,Nvidia GeForce GTX 470,Network:,Broadband Internet connection,Storage:,35 GB available space,Additional Notes:,AMD graphics cards and Intel IGPU’s are not currently supported on the SteamOS + Linux version of Total War: ATTILA",$44.99 
dead by daylight + deathgarden,,Behaviour Digital Inc.,Behaviour Digital Inc.,,"Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Early Access",,,
prison architect,"Very Positive,(28,180),- 93% of the 28,180 user reviews for this game are positive.",Introversion Software,"Paradox Interactive,Paradox Interactive","Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Indie,2D,Resource Management,Base Building,Economy,Top-Down,Moddable,City Builder,Replay Value,Early Access,Casual,Funny,Action,Comedy","Single-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,Simulation,Strategy",,,$29.99 
dying light ultimate collection,,Techland,Techland Publishing,,"Single-player,Multi-player,Co-op,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor","Action,RPG,Violent,Gore",,,$86.92 
eco,"Mostly Positive,(2,033),- 71% of the 2,033 user reviews for this game are positive.",Strange Loop Games,"Strange Loop Games,Strange Loop Games","Early Access,Survival,Open World,Multiplayer,Building,Crafting,Simulation,Sandbox,Adventure,Co-op,Economy,Exploration,Indie,Early Access,Realistic,Online Co-Op,Education,Singleplayer,First-Person,Base Building","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op","Indie,Simulation,Early Access",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 10,Processor:,Intel Dual-Core 2.4 GHz or AMD Dual-Core Athlon 2.5 GHz,Memory:,4 GB RAM,Graphics:,NVIDIA GeForce GT 440 or AMD Radeon HD 5850 or Intel HD Graphics 4000 with 512 MB,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,2 GB available space,Sound Card:,DirectX®-compatible",$29.99 
thief simulator,"Mostly Positive,(2,335),- 77% of the 2,335 user reviews for this game are positive.",Noble Muffins,"PlayWay S.A.,PlayWay S.A.","Simulation,Stealth,Crime,Adventure,First-Person,Singleplayer,Action,Open World,Indie,Sandbox,Realistic,Heist,Funny,Strategy,Atmospheric,Exploration,Walking Simulator,Silent Protagonist,Casual,Multiplayer","Single-player,Steam Achievements,Partial Controller Support","Action,Adventure,Indie,Simulation",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7,Processor:,Intel Core i5,Memory:,8 GB RAM,Graphics:,NVidia GeForce GTX 750,DirectX:,Version 10,Storage:,5 GB available space,Sound Card:,DirectX compatible",$19.99 
bloons td 6,"Mixed,(862),- 68% of the 862 user reviews for this game are positive.",Ninja Kiwi,"Ninja Kiwi,Ninja Kiwi","Strategy,Tower Defense,Singleplayer,Casual,Multiplayer","Single-player,Steam Achievements,In-App Purchases",Strategy,,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 (64bit),Processor:,1.5Ghz or better,Memory:,4096 MB RAM,Graphics:,OpenGL 2.0 compatible, ATI, Nvidia or Intel HD,Storage:,2048 MB available space,Sound Card:,Windows compatible sound card",$9.99 
dusk,"Overwhelmingly Positive,(3,452),- 97% of the 3,452 user reviews for this game are positive.",David Szymanski,"New Blood Interactive,New Blood Interactive","FPS,Retro,Action,Fast-Paced,Great Soundtrack,Horror,Gore,Shooter,Indie,Singleplayer,Multiplayer,First-Person,Violent,Atmospheric,Arena Shooter,Classic,Dark,Blood,Survival,Competitive","Single-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Indie",,"Minimum:,OS:,Windows 7 Or Later,Processor:,2.4GHZ Dual Core Processor Or Higher,Memory:,2 GB RAM,Graphics:,GeForce 9800GT Or Equivalent,DirectX:,Version 9.0,Storage:,2 GB available space,Additional Notes:,64-bit Recommended, 32-bit Supported,Minimum:,OS:,macOS 10.11 El Capitan,Processor:,2.2GHZ Dual Core Processor Or Higher,Memory:,2 GB RAM,Graphics:,512MB VRAM Or Greater,Storage:,2 GB available space,Additional Notes:,Requires a 64-bit OS,Minimum:,OS:,Ubuntu 12.04,Processor:,2.4GHZ Dual Core Processor Or Higher,Memory:,2 GB RAM,Graphics:,GeForce 9800GT Or Equivalent,Storage:,2 GB available space,Additional Notes:,Requires a 64-bit OS",$20.00 
ori and the blind forest,"Overwhelmingly Positive,(24,439),- 96% of the 24,439 user reviews for this game are positive.",Moon Studios GmbH,"Xbox Game Studios,Xbox Game Studios","Great Soundtrack,Atmospheric,Platformer,Adventure,Story Rich,Fantasy,Cute,2D,Metroidvania,Singleplayer,Difficult,Action,Indie,Puzzle,Exploration,Side Scroller,Family Friendly,Open World,RPG,2.5D","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats",Action,,"Minimum:,OS:,Windows 7,Processor:,Intel Core 2 Duo E4500 @ 2.2GHz or AMD Athlon 64 X2 5600+ @ 2.8 GHz,Memory:,4 GB RAM,Graphics:,GeForce 240 GT or Radeon HD 6570 – 1024 MB (1 gig),DirectX:,Version 9.0c,Storage:,8 GB available space",
wizard of legend,"Very Positive,(3,970),- 88% of the 3,970 user reviews for this game are positive.",Contingent99,"Contingent99,Contingent99","Rogue-like,Pixel Graphics,Action,Dungeon Crawler,Adventure,Magic,Local Co-Op,Indie,Rogue-lite,Multiplayer,Hack and Slash,Difficult,2D,Local Multiplayer,Co-op,Procedural Generation,Singleplayer,RPG,Fast-Paced,Great Soundtrack","Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie",,,$15.99 
maplestory 2,"Mostly Positive,(7,088),- 74% of the 7,088 user reviews for this game are positive.",Nexon Korea Corporation,"Nexon America Inc.,Nexon America Inc.","Massively Multiplayer,MMORPG,Anime,Cute,RPG,Adventure,Casual,Character Customization,Action,Simulation,Fantasy,Multiplayer,Building,Open World,Psychological Horror,Colorful,Sandbox,Action RPG,Nudity","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support","Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation",,"Minimum:,OS:,Windows 7 32-bit,Processor:,Intel Core i3 or better,Memory:,4 GB RAM,Graphics:,GeForce GT 730 / GeForce GT 630,Network:,Broadband Internet connection,Storage:,8 GB available space",Free To Play
the jackbox party pack 4,"Very Positive,(278),- 81% of the 278 user reviews for this game are positive.","Jackbox Games, Inc.","Jackbox Games, Inc.,Jackbox Games, Inc.","Casual,Local Multiplayer,Indie,Funny,Multiplayer,Strategy,Board Game,Co-op,Comedy,Family Friendly","Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Casual,Indie,Strategy",,"Minimum:,OS:,Ubuntu 16.04,Processor:,2.66 Ghz Core 2 Duo or Greater,Memory:,4 GB RAM,Graphics:,GeForce 500+ / Radeon 5000+ or Greater,Network:,Broadband Internet connection,Storage:,3 GB available space",$24.99 
